"REF_DATE","GEO","DGUID","Projection scenario","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2028","Canada","2016A000011124","Projection scenario M4: medium-growth","Women+","60 to 64 years","Persons","249","thousands","3","v52384853","1.6.3.74","1287.5","","","","1"
"2029","Canada","2016A000011124","Projection scenario M4: medium-growth","Women+","60 to 64 years","Persons","249","thousands","3","v52384853","1.6.3.74","1258.5","","","","1"
"2030","Canada","2016A000011124","Projection scenario M4: medium-growth","Women+","60 to 64 years","Persons","249","thousands","3","v52384853","1.6.3.74","1238.4","","","","1"
"2024","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","15 to 19 years","Persons","249","thousands","3","v88838529","1.11.2.20","1196.2","","","","1"
"2025","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","15 to 19 years","Persons","249","thousands","3","v88838529","1.11.2.20","1210.7","","","","1"
"2026","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","15 to 19 years","Persons","249","thousands","3","v88838529","1.11.2.20","1220.8","","","","1"
"2027","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","15 to 19 years","Persons","249","thousands","3","v88838529","1.11.2.20","1227.5","","","","1"
"2028","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","15 to 19 years","Persons","249","thousands","3","v88838529","1.11.2.20","1239.8","","","","1"
"2029","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","15 to 19 years","Persons","249","thousands","3","v88838529","1.11.2.20","1248.2","","","","1"
"2030","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","15 to 19 years","Persons","249","thousands","3","v88838529","1.11.2.20","1259.1","","","","1"
"2024","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","20 to 24 years","Persons","249","thousands","3","v88838535","1.11.2.26","1448.6","","","","1"
"2025","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","20 to 24 years","Persons","249","thousands","3","v88838535","1.11.2.26","1423.6","","","","1"
"2026","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","20 to 24 years","Persons","249","thousands","3","v88838535","1.11.2.26","1412.0","","","","1"
"2027","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","20 to 24 years","Persons","249","thousands","3","v88838535","1.11.2.26","1404.8","","","","1"
"2028","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","20 to 24 years","Persons","249","thousands","3","v88838535","1.11.2.26","1434.8","","","","1"
"2029","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","20 to 24 years","Persons","249","thousands","3","v88838535","1.11.2.26","1462.5","","","","1"
"2030","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","20 to 24 years","Persons","249","thousands","3","v88838535","1.11.2.26","1489.3","","","","1"
"2024","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","25 to 29 years","Persons","249","thousands","3","v88838541","1.11.2.32","1578.1","","","","1"
"2025","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","25 to 29 years","Persons","249","thousands","3","v88838541","1.11.2.32","1539.4","","","","1"
"2026","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","25 to 29 years","Persons","249","thousands","3","v88838541","1.11.2.32","1491.2","","","","1"
"2027","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","25 to 29 years","Persons","249","thousands","3","v88838541","1.11.2.32","1449.1","","","","1"
"2028","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","25 to 29 years","Persons","249","thousands","3","v88838541","1.11.2.32","1447.7","","","","1"
"2029","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","25 to 29 years","Persons","249","thousands","3","v88838541","1.11.2.32","1454.7","","","","1"
"2030","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","25 to 29 years","Persons","249","thousands","3","v88838541","1.11.2.32","1463.6","","","","1"
"2024","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","30 to 34 years","Persons","249","thousands","3","v88838547","1.11.2.38","1590.7","","","","1"
"2025","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","30 to 34 years","Persons","249","thousands","3","v88838547","1.11.2.38","1595.9","","","","1"
"2026","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","30 to 34 years","Persons","249","thousands","3","v88838547","1.11.2.38","1596.2","","","","1"
"2027","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","30 to 34 years","Persons","249","thousands","3","v88838547","1.11.2.38","1592.1","","","","1"
"2028","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","30 to 34 years","Persons","249","thousands","3","v88838547","1.11.2.38","1597.5","","","","1"
"2029","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","30 to 34 years","Persons","249","thousands","3","v88838547","1.11.2.38","1598.0","","","","1"
"2030","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","30 to 34 years","Persons","249","thousands","3","v88838547","1.11.2.38","1589.0","","","","1"
"2024","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","35 to 39 years","Persons","249","thousands","3","v88838553","1.11.2.44","1481.1","","","","1"
"2025","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","35 to 39 years","Persons","249","thousands","3","v88838553","1.11.2.44","1511.8","","","","1"
"2026","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","35 to 39 years","Persons","249","thousands","3","v88838553","1.11.2.44","1545.9","","","","1"
"2027","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","35 to 39 years","Persons","249","thousands","3","v88838553","1.11.2.44","1578.2","","","","1"
"2028","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","35 to 39 years","Persons","249","thousands","3","v88838553","1.11.2.44","1620.8","","","","1"
"2029","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","35 to 39 years","Persons","249","thousands","3","v88838553","1.11.2.44","1651.8","","","","1"
"2030","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","35 to 39 years","Persons","249","thousands","3","v88838553","1.11.2.44","1675.0","","","","1"
"2024","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","40 to 44 years","Persons","249","thousands","3","v88838559","1.11.2.50","1393.2","","","","1"
"2025","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","40 to 44 years","Persons","249","thousands","3","v88838559","1.11.2.50","1413.2","","","","1"
"2026","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","40 to 44 years","Persons","249","thousands","3","v88838559","1.11.2.50","1430.9","","","","1"
"2027","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","40 to 44 years","Persons","249","thousands","3","v88838559","1.11.2.50","1447.2","","","","1"
"2028","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","40 to 44 years","Persons","249","thousands","3","v88838559","1.11.2.50","1471.8","","","","1"
"2029","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","40 to 44 years","Persons","249","thousands","3","v88838559","1.11.2.50","1505.2","","","","1"
"2030","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","40 to 44 years","Persons","249","thousands","3","v88838559","1.11.2.50","1548.0","","","","1"
"2024","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","45 to 49 years","Persons","249","thousands","3","v88838565","1.11.2.56","1257.0","","","","1"
"2025","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","45 to 49 years","Persons","249","thousands","3","v88838565","1.11.2.56","1276.5","","","","1"
"2026","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","45 to 49 years","Persons","249","thousands","3","v88838565","1.11.2.56","1302.1","","","","1"
"2027","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","45 to 49 years","Persons","249","thousands","3","v88838565","1.11.2.56","1327.5","","","","1"
"2028","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","45 to 49 years","Persons","249","thousands","3","v88838565","1.11.2.56","1359.9","","","","1"
"2029","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","45 to 49 years","Persons","249","thousands","3","v88838565","1.11.2.56","1390.9","","","","1"
"2030","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","45 to 49 years","Persons","249","thousands","3","v88838565","1.11.2.56","1419.3","","","","1"
"2024","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","50 to 54 years","Persons","249","thousands","3","v88838571","1.11.2.62","1203.1","","","","1"
"2025","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","50 to 54 years","Persons","249","thousands","3","v88838571","1.11.2.62","1200.5","","","","1"
"2026","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","50 to 54 years","Persons","249","thousands","3","v88838571","1.11.2.62","1196.9","","","","1"
"2027","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","50 to 54 years","Persons","249","thousands","3","v88838571","1.11.2.62","1204.0","","","","1"
"2028","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","50 to 54 years","Persons","249","thousands","3","v88838571","1.11.2.62","1221.8","","","","1"
"2029","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","50 to 54 years","Persons","249","thousands","3","v88838571","1.11.2.62","1245.1","","","","1"
"2030","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","50 to 54 years","Persons","249","thousands","3","v88838571","1.11.2.62","1270.2","","","","1"
"2024","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","55 to 59 years","Persons","249","thousands","3","v88838577","1.11.2.68","1226.8","","","","1"
"2025","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","55 to 59 years","Persons","249","thousands","3","v88838577","1.11.2.68","1198.9","","","","1"
"2026","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","55 to 59 years","Persons","249","thousands","3","v88838577","1.11.2.68","1190.4","","","","1"
"2027","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","55 to 59 years","Persons","249","thousands","3","v88838577","1.11.2.68","1187.2","","","","1"
"2028","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","55 to 59 years","Persons","249","thousands","3","v88838577","1.11.2.68","1184.6","","","","1"
"2029","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","55 to 59 years","Persons","249","thousands","3","v88838577","1.11.2.68","1181.2","","","","1"
"2030","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","55 to 59 years","Persons","249","thousands","3","v88838577","1.11.2.68","1182.4","","","","1"
"2024","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","60 to 64 years","Persons","249","thousands","3","v88838583","1.11.2.74","1336.6","","","","1"
"2025","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","60 to 64 years","Persons","249","thousands","3","v88838583","1.11.2.74","1333.1","","","","1"
"2026","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","60 to 64 years","Persons","249","thousands","3","v88838583","1.11.2.74","1309.4","","","","1"
"2027","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","60 to 64 years","Persons","249","thousands","3","v88838583","1.11.2.74","1275.0","","","","1"
"2028","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","60 to 64 years","Persons","249","thousands","3","v88838583","1.11.2.74","1233.8","","","","1"
"2029","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","60 to 64 years","Persons","249","thousands","3","v88838583","1.11.2.74","1198.7","","","","1"
"2030","Canada","2016A000011124","Projection scenario M5: medium-growth","Men+","60 to 64 years","Persons","249","thousands","3","v88838583","1.11.2.74","1174.6","","","","1"
"2024","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","15 to 19 years","Persons","249","thousands","3","v88838651","1.11.3.20","1122.9","","","","1"
"2025","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","15 to 19 years","Persons","249","thousands","3","v88838651","1.11.3.20","1138.5","","","","1"
"2026","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","15 to 19 years","Persons","249","thousands","3","v88838651","1.11.3.20","1149.3","","","","1"
"2027","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","15 to 19 years","Persons","249","thousands","3","v88838651","1.11.3.20","1156.2","","","","1"
"2028","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","15 to 19 years","Persons","249","thousands","3","v88838651","1.11.3.20","1166.1","","","","1"
"2029","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","15 to 19 years","Persons","249","thousands","3","v88838651","1.11.3.20","1174.4","","","","1"
"2030","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","15 to 19 years","Persons","249","thousands","3","v88838651","1.11.3.20","1183.3","","","","1"
"2024","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","20 to 24 years","Persons","249","thousands","3","v88838657","1.11.3.26","1315.2","","","","1"
"2025","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","20 to 24 years","Persons","249","thousands","3","v88838657","1.11.3.26","1295.6","","","","1"
"2026","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","20 to 24 years","Persons","249","thousands","3","v88838657","1.11.3.26","1288.1","","","","1"
"2027","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","20 to 24 years","Persons","249","thousands","3","v88838657","1.11.3.26","1285.3","","","","1"
"2028","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","20 to 24 years","Persons","249","thousands","3","v88838657","1.11.3.26","1312.7","","","","1"
"2029","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","20 to 24 years","Persons","249","thousands","3","v88838657","1.11.3.26","1337.5","","","","1"
"2030","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","20 to 24 years","Persons","249","thousands","3","v88838657","1.11.3.26","1362.9","","","","1"
"2024","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","25 to 29 years","Persons","249","thousands","3","v88838663","1.11.3.32","1443.9","","","","1"
"2025","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","25 to 29 years","Persons","249","thousands","3","v88838663","1.11.3.32","1423.6","","","","1"
"2026","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","25 to 29 years","Persons","249","thousands","3","v88838663","1.11.3.32","1392.4","","","","1"
"2027","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","25 to 29 years","Persons","249","thousands","3","v88838663","1.11.3.32","1364.9","","","","1"
"2028","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","25 to 29 years","Persons","249","thousands","3","v88838663","1.11.3.32","1366.3","","","","1"
"2029","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","25 to 29 years","Persons","249","thousands","3","v88838663","1.11.3.32","1373.6","","","","1"
"2030","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","25 to 29 years","Persons","249","thousands","3","v88838663","1.11.3.32","1380.9","","","","1"
"2024","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","30 to 34 years","Persons","249","thousands","3","v88838669","1.11.3.38","1506.3","","","","1"
"2025","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","30 to 34 years","Persons","249","thousands","3","v88838669","1.11.3.38","1512.1","","","","1"
"2026","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","30 to 34 years","Persons","249","thousands","3","v88838669","1.11.3.38","1517.1","","","","1"
"2027","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","30 to 34 years","Persons","249","thousands","3","v88838669","1.11.3.38","1518.2","","","","1"
"2028","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","30 to 34 years","Persons","249","thousands","3","v88838669","1.11.3.38","1529.8","","","","1"
"2029","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","30 to 34 years","Persons","249","thousands","3","v88838669","1.11.3.38","1537.1","","","","1"
"2030","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","30 to 34 years","Persons","249","thousands","3","v88838669","1.11.3.38","1539.4","","","","1"
"2024","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","35 to 39 years","Persons","249","thousands","3","v88838675","1.11.3.44","1431.8","","","","1"
"2025","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","35 to 39 years","Persons","249","thousands","3","v88838675","1.11.3.44","1461.2","","","","1"
"2026","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","35 to 39 years","Persons","249","thousands","3","v88838675","1.11.3.44","1493.6","","","","1"
"2027","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","35 to 39 years","Persons","249","thousands","3","v88838675","1.11.3.44","1524.5","","","","1"
"2028","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","35 to 39 years","Persons","249","thousands","3","v88838675","1.11.3.44","1561.7","","","","1"
"2029","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","35 to 39 years","Persons","249","thousands","3","v88838675","1.11.3.44","1590.5","","","","1"
"2030","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","35 to 39 years","Persons","249","thousands","3","v88838675","1.11.3.44","1609.7","","","","1"
"2024","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","40 to 44 years","Persons","249","thousands","3","v88838681","1.11.3.50","1369.5","","","","1"
"2025","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","40 to 44 years","Persons","249","thousands","3","v88838681","1.11.3.50","1390.1","","","","1"
"2026","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","40 to 44 years","Persons","249","thousands","3","v88838681","1.11.3.50","1407.8","","","","1"
"2027","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","40 to 44 years","Persons","249","thousands","3","v88838681","1.11.3.50","1424.3","","","","1"
"2028","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","40 to 44 years","Persons","249","thousands","3","v88838681","1.11.3.50","1446.5","","","","1"
"2029","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","40 to 44 years","Persons","249","thousands","3","v88838681","1.11.3.50","1475.5","","","","1"
"2030","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","40 to 44 years","Persons","249","thousands","3","v88838681","1.11.3.50","1513.4","","","","1"
"2024","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","45 to 49 years","Persons","249","thousands","3","v88838687","1.11.3.56","1260.0","","","","1"
"2025","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","45 to 49 years","Persons","249","thousands","3","v88838687","1.11.3.56","1278.1","","","","1"
"2026","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","45 to 49 years","Persons","249","thousands","3","v88838687","1.11.3.56","1301.8","","","","1"
"2027","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","45 to 49 years","Persons","249","thousands","3","v88838687","1.11.3.56","1326.3","","","","1"
"2028","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","45 to 49 years","Persons","249","thousands","3","v88838687","1.11.3.56","1357.0","","","","1"
"2029","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","45 to 49 years","Persons","249","thousands","3","v88838687","1.11.3.56","1385.1","","","","1"
"2030","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","45 to 49 years","Persons","249","thousands","3","v88838687","1.11.3.56","1411.6","","","","1"
"2024","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","50 to 54 years","Persons","249","thousands","3","v88838693","1.11.3.62","1228.4","","","","1"
"2025","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","50 to 54 years","Persons","249","thousands","3","v88838693","1.11.3.62","1225.0","","","","1"
"2026","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","50 to 54 years","Persons","249","thousands","3","v88838693","1.11.3.62","1220.9","","","","1"
"2027","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","50 to 54 years","Persons","249","thousands","3","v88838693","1.11.3.62","1228.3","","","","1"
"2028","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","50 to 54 years","Persons","249","thousands","3","v88838693","1.11.3.62","1243.1","","","","1"
"2029","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","50 to 54 years","Persons","249","thousands","3","v88838693","1.11.3.62","1263.0","","","","1"
"2030","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","50 to 54 years","Persons","249","thousands","3","v88838693","1.11.3.62","1284.9","","","","1"
"2024","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","55 to 59 years","Persons","249","thousands","3","v88838699","1.11.3.68","1259.8","","","","1"
"2025","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","55 to 59 years","Persons","249","thousands","3","v88838699","1.11.3.68","1237.4","","","","1"
"2026","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","55 to 59 years","Persons","249","thousands","3","v88838699","1.11.3.68","1233.9","","","","1"
"2027","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","55 to 59 years","Persons","249","thousands","3","v88838699","1.11.3.68","1232.0","","","","1"
"2028","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","55 to 59 years","Persons","249","thousands","3","v88838699","1.11.3.68","1229.7","","","","1"
"2029","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","55 to 59 years","Persons","249","thousands","3","v88838699","1.11.3.68","1226.3","","","","1"
"2030","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","55 to 59 years","Persons","249","thousands","3","v88838699","1.11.3.68","1225.6","","","","1"
"2024","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","60 to 64 years","Persons","249","thousands","3","v88838705","1.11.3.74","1371.9","","","","1"
"2025","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","60 to 64 years","Persons","249","thousands","3","v88838705","1.11.3.74","1370.9","","","","1"
"2026","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","60 to 64 years","Persons","249","thousands","3","v88838705","1.11.3.74","1350.0","","","","1"
"2027","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","60 to 64 years","Persons","249","thousands","3","v88838705","1.11.3.74","1321.6","","","","1"
"2028","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","60 to 64 years","Persons","249","thousands","3","v88838705","1.11.3.74","1287.5","","","","1"
"2029","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","60 to 64 years","Persons","249","thousands","3","v88838705","1.11.3.74","1258.5","","","","1"
"2030","Canada","2016A000011124","Projection scenario M5: medium-growth","Women+","60 to 64 years","Persons","249","thousands","3","v88838705","1.11.3.74","1238.4","","","","1"
"2024","Canada","2016A000011124","Projection scenario M6: medium-growth","Men+","15 to 19 years","Persons","249","thousands","3","v1411755854","1.14.2.20","1196.2","","","","1"
"2025","Canada","2016A000011124","Projection scenario M6: medium-growth","Men+","15 to 19 years","Persons","249","thousands","3","v1411755854","1.14.2.20","1210.7","","","","1"
"2026","Canada","2016A000011124","Projection scenario M6: medium-growth","Men+","15 to 19 years","Persons","249","thousands","3","v1411755854","1.14.2.20","1220.8","","","","1"
"2027","Canada","2016A000011124","Projection scenario M6: medium-growth","Men+","15 to 19 years","Persons","249","thousands","3","v1411755854","1.14.2.20","1227.4","","","","1"
"2028","Canada","2016A000011124","Projection scenario M6: medium-growth","Men+","15 to 19 years","Persons","249","thousands","3","v1411755854","1.14.2.20","1239.7","","","","1"
"2029","Canada","2016A000011124","Projection scenario M6: medium-growth","Men+","15 to 19 years","Persons","249","thousands","3","v1411755854","1.14.2.20","1248.1","","","","1"
"2030","Canada","2016A000011124","Projection scenario M6: medium-growth","Men+","15 to 19 years","Persons","249","thousands","3","v1411755854","1.14.2.20","1259.0","","","","1"
"2024","Canada","2016A000011124","Projection scenario M6: medium-growth","Men+","20 to 24 years","Persons","249","thousands","3","v1411756106","1.14.2.26","1448.6","","","","1"
"2025","Canada","2016A000011124","Projection scenario M6: medium-growth","Men+","20 to 24 years","Persons","249","thousands","3","v1411756106","1.14.2.26","1423.5","","","","1"
"2026","Canada","2016A000011124","Projection scenario M6: medium-growth","Men+","20 to 24 years","Persons","249","thousands","3","v1411756106","1.14.2.26","1411.8","","","","1"
"2027","Canada","2016A000011124","Projection scenario M6: medium-growth","Men+","20 to 24 years","Persons","249","thousands","3","v1411756106","1.14.2.26","1404.6","","","","1"
"2028","Canada","2016A000011124","Projection scenario M6: medium-growth","Men+","20 to 24 years","Persons","249","thousands","3","v1411756106","1.14.2.26","1434.5","","","","1"
"2029","Canada","2016A000011124","Projection scenario M6: medium-growth","Men+","20 to 24 years","Persons","249","thousands","3","v1411756106","1.14.2.26","1462.1","","","","1"
"2030","Canada","2016A000011124","Projection scenario M6: medium-growth","Men+","20 to 24 years","Persons","249","thousands","3","v1411756106","1.14.2.26","1488.8","","","","1"
"2024","Canada","2016A000011124","Projection scenario M6: medium-growth","Men+","25 to 29 years","Persons","249","thousands","3","v1411756358","1.14.2.32","1578.1","","","","1"
"2025","Canada","2016A000011124","Projection scenario M6: medium-growth","Men+","25 to 29 years","Persons","249","thousands","3","v1411756358","1.14.2.32","1539.3","","","","1"
"2026","Canada","2016A000011124","Projection scenario M6: medium-growth","Men+","25 to 29 years","Persons","249","thousands","3","v1411756358","1.14.2.32","1491.1","","","","1"
"2027","Canada","2016A000011124","Projection scenario M6: medium-growth","Men+","25 to 29 years","Persons","249","thousands","3","v1411756358","1.14.2.32","1449.0","","","","1"
"2028","Canada","2016A000011124","Projection scenario M6: medium-growth","Men+","25 to 29 years","Persons","249","thousands","3","v1411756358","1.14.2.32","1447.7","","","","1"
"2029","Canada","2016A000011124","Projection scenario M6: medium-growth","Men+","25 to 29 years","Persons","249","thousands","3","v1411756358","1.14.2.32","1454.6","","","","1"
"2030","Canada","2016A000011124","Projection scenario M6: medium-growth","Men+","25 to 29 years","Persons","249","thousands","3","v1411756358","1.14.2.32","1463.5","","","","1"
"2024","Canada","2016A000011124","Projection scenario M6: medium-growth","Men+","30 to 34 years","Persons","249","thousands","3","v1411756610","1.14.2.38","1590.7","","","","1"
"2025","Canada","2016A000011124","Projection scenario M6: medium-growth","Men+","30 to 34 years","Persons","249","thousands","3","v1411756610","1.14.2.38","1596.0","","","","1"
"2026","Canada","2016A000011124","Projection scenario M6: medium-growth","Men+","30 to 34 years","Persons","249","thousands","3","v1411756610","1.14.2.38","1596.3","","","","1"
"2027","Canada","2016A000011124","Projection scenario M6: medium-growth","Men+","30 to 34 years","Persons","249","thousands","3","v1411756610","1.14.2.38","1592.2","","","","1"
"2028","Canada","2016A000011124","Projection scenario M6: medium-growth","Men+","30 to 34 years","Persons","249","thousands","3","v1411756610","1.14.2.38","1597.7","","","","1"
"2029","Canada","2016A000011124","Projection scenario M6: medium-growth","Men+","30 to 34 years","Persons","249","thousands","3","v1411756610","1.14.2.38","1598.2","","","","1"
"2030","Canada","2016A000011124","Projection scenario M6: medium-growth","Men+","30 to 34 years","Persons","249","thousands","3","v1411756610","1.14.2.38","1589.3","","","","1"
"2024","Canada","2016A000011124","Projection scenario M6: medium-growth","Men+","35 to 39 years","Persons","249","thousands","3","v1411756862","1.14.2.44","1481.1","","","","1"
"2025","Canada","2016A000011124","Projection scenario M6: medium-growth","Men+","35 to 39 years","Persons","249","thousands","3","v1411756862","1.14.2.44","1511.8","","","","1"
"2026","Canada","2016A000011124","Projection scenario M6: medium-growth","Men+","35 to 39 years","Persons","249","thousands","3","v1411756862","1.14.2.44","1546.0","","","","1"
"2027","Canada","2016A000011124","Projection scenario M6: medium-growth","Men+","35 to 39 years","Persons","249","thousands","3","v1411756862","1.14.2.44","1578.3","","","","1"
"2028","Canada","2016A000011124","Projection scenario M6: medium-growth","Men+","35 to 39 years","Persons","249","thousands","3","v1411756862","1.14.2.44","1621.0","","","","1"
"2029","Canada","2016A000011124","Projection scenario M6: medium-growth","Men+","35 to 39 years","Persons","249","thousands","3","v1411756862","1.14.2.44","1652.1","","","","1"
